190,255,1
337,2799,1
2801,3733,1
3734,5020,1
5234,5530,1
5683,6459,0
6529,7959,0
8238,9191,1
9306,9893,1
9928,10494,0
10643,11356,0
11382,11786,0
12163,14079,1
14168,15298,1
15445,16557,1
16751,16903,0
17489,18655,1
18721,19620,1
20815,21078,0
21181,21399,1
21407,22348,1
22391,25207,1
25207,25701,1
25826,26275,1
26277,27227,1
27293,28207,1
28374,29195,1
29651,30799,1
30817,34038,1
34300,34695,1
34781,35371,0
35377,36162,0
36271,37824,0
37898,39115,0
39244,40386,0
40417,41931,0
42403,43173,1
43188,44129,1
44180,45466,1
45463,45750,1
45807,47138,1
47246,47776,1
47769,49631,1
49823,50302,1
50380,51222,0
51229,51606,0
51609,52430,0
52427,53416,0
53416,54702,0
54755,57109,0
57364,58179,1
58474,59124,1
59121,59279,1
59687,60346,0
63738,64196,1
64198,65139,1
65136,65501,1
65517,67283,1
67270,68757,1
68754,70112,1
70106,71188,1
71191,72507,1
72507,73751,1
73748,74815,1
74869,76344,1
76337,77257,1
77259,78089,1
78086,79348,1
79409,80560,1
80661,81578,1
81809,82321,1
82383,85088,1
85148,85537,1
85753,85950,0
85960,86703,0
86703,87323,0
87348,87392,1
87548,88591,1
88626,89828,0
89818,91203,0
91213,91653,0
91856,92749,0
92837,93388,1
93385,94239,1
94282,95655,0
96196,96960,1
97121,99784,1
99799,101691,1
102016,103440,1
103511,105364,0
105719,108316,1
108492,108854,1
108892,109686,0
109702,110568,0
110674,111021,0
111187,112737,1
112939,115329,0
115535,116071,1
116112,116774,0
116883,117809,1
117806,118576,1
118681,119121,1
119185,120414,1
120418,120798,0
121072,121974,1
122048,122899,0
122911,123705,0
123819,125057,0
125107,125703,0
125730,126335,0
126347,126916,0
126933,129530,0
129565,130305,0
130403,130987,0
131357,131836,0
131833,133230,0
133290,134216,0
134253,134708,0
134886,135590,0
135605,136135,0
136209,138638,1
138834,141368,1
141588,143831,1
143882,144679,1
144679,145569,1
145566,147548,1
147706,148986,0
149211,150632,1
150656,150721,1
150714,151058,1
151105,151728,0
151766,152566,0
152559,153257,0
153341,154858,1
154988,156412,1
156567,157724,1
157813,158199,0
158361,159173,0
159227,160051,0
160082,162754,0
162816,163610,0
163978,164703,1
164961,165812,1
165959,166684,1
166976,167533,1
167625,168821,1
169010,169768,1
169781,170638,1
170650,172002,1
172032,174464,1
174586,175071,1
175075,176100,1
176205,176660,1
176664,177452,1
177452,178600,1
178597,179193,1
179230,182712,1
182725,183684,1
183783,185924,1
185981,186370,1
186435,187733,1
187782,188042,0
188029,188229,0
188395,188940,1
188937,189359,1
189373,190083,1
190283,191107,0
191161,192879,0
192991,193698,0
193695,194099,0
194217,195032,0
195072,195725,0
195718,196749,0
196937,197512,1
197875,199416,1
199485,199561,1
199604,199679,1
199863,202766,1
202862,202977,1
203032,203108,1
203271,204074,1
204071,204985,0
205226,206026,1
206701,208059,0
208131,208886,0
208920,209642,1
209639,210106,0
210171,210902,1
211035,211111,1
211439,212224,1
212361,212840,0
213523,214293,0
214474,214920,1
214963,217407,0
217647,218225,1
218431,219198,1
219169,219909,0
220065,220343,0
220346,220606,0
220816,221565,1
221741,222238,1
224146,224931,1
225002,226057,1
226109,226402,1
226405,226803,1
226813,227265,1
228363,229820,0
230081,230539,1
230631,231875,1
231933,232334,1
232373,233428,0
233716,234819,1
234831,236084,1
236199,236274,1
236656,236997,0
237018,237335,0
237354,237575,0
237584,238060,0
238076,238534,0
238632,238871,0
238948,239415,0
239438,239881,0
239881,240108,0
240512,241333,0
241425,242288,0
242617,243510,0
243931,245082,1
247429,248445,0
248653,250056,1
250043,250975,1
251084,252130,0
253713,254063,0
254157,255311,0
255606,256514,1
256529,258496,1
258723,260105,1
